No.,Ministry,Total_05-06,Total_06-07,Total_07-08,Total_08-09,Total_09-10,Total_10-11,Total_11-12,Total_12-13,Total_13-14,Total_14-15,Total_15-16,Total_16-17,Total_17-18,Total_18-19,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
162,Other Grants/Loans/Transfers,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,145096.53,223426.74,0.0,0.0,0.0
163,Overseas Indian Affairs@,35.0,38.0,0.0,0,80.0,0.0,0,114.77,115.79,0,118.17,0.0,0,0,0.0,0.0,0.0,0.0,0.0
164,Parliamentary Affairs,5.9,6.0,0.0,0,8.33,0.0,0,11.72,13.28,0,15.57,17.3,0,0,0.0,0.0,0.0,0.0,0.0
165,Pensions,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,48565.0,61169.35,55873.12,65840.81,71701.0
166,Personnel,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,921.43,0.0,0,0,0.0,0.0,0.0,0.0,0.0
167,Petroleum and Natural Gas,3669.0,3106.62,0.0,0,3169.0,3179.0,0,43759.85,65188.41,0,30125.55,29160.62,0,0,0.0,0.0,0.0,0.0,0.0
168,Pharmaceuticals@,0.0,0.0,0.0,0,0.0,198.0,0,231.09,228.33,0,259.02,211.4,0,0,0.0,0.0,0.0,0.0,0.0
169,Plan,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
170,Planning,106.8,123.83,129.32,0,519.0,2059.32,0,2177.03,8081.51,0,2211.63,293.14,0,0,0.0,0.0,0.0,0.0,0.0
171,Police,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,98202.23,105244.34,103802.52,117687.99,0.0
172,Pondicherry,698.1,740.3,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
173,Posts,1773.1,1765.2,1714.38,0,6021.26,4266.14,0,6537.12,7527.09,0,7138.7,9025.53,0,0,0.0,0.0,0.0,0.0,0.0
174,Power,3061.7,5567.0,5552.19,0,9202.0,10474.87,0,9519.11,10073.07,0,6725.93,12252.71,0,0,0.0,0.0,0.0,0.0,0.0
175,Public Enterprises,32.93,35.32,14.43,0,17.2,15.72,0,21.93,19.39,0,19.0,20.42,0,0,0.0,0.0,0.0,0.0,0.0
176,Railways,6520.0,6800.14,6886.31,0,14600.0,0.0,0,24000.0,26000.0,0,40000.0,45000.0,0,0,0.0,0.0,0.0,0.0,0.0
177,Rajya Sabha,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,401.04,436.29,446.5,430.96,484.41
178,Repayment of Debt,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
179,STATE PLANS (including DONER) Total,31742.39,38961.48,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
180,Science and Technology,1636.0,1746.0,3550.0,0,2133.0,2369.0,0,2873.22,3184.27,0,3835.7,4470.2,0,0,0.0,0.0,0.0,0.0,0.0
181,Scientific and Industrial Research,1557.0,1750.0,3804.0,0,2691.0,2988.0,0,3484.0,3571.0,0,4031.0,4062.8,0,0,0.0,0.0,0.0,0.0,0.0
182,Secondary Education and Higher Education,5800.5,6982.28,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
183,Secretariat of the Vice-President,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,6.98,7.25,7.43,8.64,9.31
184,Shipping,963.92,1236.67,3107.0,0,1755.53,1935.89,0,1679.49,1712.67,0,1439.79,1531.0,0,0,0.0,0.0,0.0,0.0,0.0
185,Small Scale Industries,460.3,524.24,1170.82,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
186,Space,3148.0,3610.0,7717.2,0,4959.0,5778.0,0,6715.0,6792.0,0,7388.19,7509.14,0,0,0.0,0.0,0.0,0.0,0.0
187,"Staff Household and Allowances of the President""",0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,63.78,80.98,74.47,79.45,90.14
188,Steel,89.53,129.5,301.0,0,115.36,107.62,0,115.29,112.87,0,82.95,85.62,0,0,0.0,0.0,0.0,0.0,0.0
189,Supreme Court of India,38.28,43.27,0.0,0,88.02,0.0,0,111.75,129.41,0,155.0,189.88,0,0,269.46,308.61,334.96,401.46,437.15
190,Telecommunications,2858.65,3166.46,3840.0,0,7854.0,7210.87,0,10094.04,11703.14,0,13474.6,18413.87,0,0,0.0,0.0,0.0,0.0,0.0
191,"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",378.74,430.07,0.0,0,686.06,670.17,0,902.98,1033.53,0,1186.04,1275.7,0,0,0.0,0.0,0.0,0.0,0.0
192,Total,0.0,0.0,675178.52,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
193,Total (A + B),0.0,0.0,0.0,0,80066.71,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
194,Tourism,828.2,872.82,1993.24,0,1070.0,1119.41,0,1282.98,1357.3,0,1553.07,1590.32,0,0,0.0,0.0,0.0,0.0,0.0
195,Transfers to Delhi,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1112.0,1116.0,957.51,0.0,0.0
196,Transfers to Jammu and Kashmir,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,30757.0,30757.0,0.0,0.0
197,Transfers to Puducherry,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1545.0,1703.02,1729.79,0.0,0.0
198,Transfers to States,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,166883.45,200447.45,293302.0,334339.42,324641.41
199,UNION TERRITORIES,4026.77,4878.84,5341.99,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
200,Union Public Service Commission,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,298.45,305.38,304.17,330.58,380.0
201,Urban Employment and Poverty Alleviation,0.0,431.67,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
202,V. GRAND TOTAL (I+IV),0.0,0.0,0.0,0,0.0,1108749.24,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
203,Water Resources,874.56,961.51,1743.52,0,1003.0,1105.0,0,2041.0,2076.55,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
204,a. Agriculture Cooperation and Farmers Welfare,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,12739.96,0,0,0.0,0.0,0.0,0.0,0.0
205,a. Agriculture and Cooperation,4589.83,5219.16,5947.21,0,11822.67,8885.97,0,20530.22,21933.5,0,17003.85,0.0,0,0,0.0,0.0,0.0,0.0,0.0
206,aa. Tourism,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
207,aa. Urban Development,3180.05,3206.26,7629.04,0,5245.78,7489.37,0,9685.99,10363.75,0,19192.870000000003,24130.0,0,0,0.0,0.0,0.0,0.0,0.0
208,b. Animal Husbandry Dairying and Fisheries,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,540.23,0,0,0.0,0.0,0.0,0.0,0.0
209,b. Economic Affairs (Centralised Provisions),160114.27,169511.6,189264.93,0,260122.44,281433.0,0,477789.89,535925.89,0,581159.57,618166.31,0,0,0.0,0.0,0.0,0.0,0.0
210,b. Finance,26500.33,29562.28,36808.2,0,63946.59,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
211,bb. Tribal Affairs,1509.74,1667.46,2247.37,0,3220.11,1213.87,0,4108.0,4295.9400000000005,0,4819.21,4826.5,0,0,0.0,0.0,0.0,0.0,0.0
212,cc. Women and Child Development,3931.11,4852.94,11706.0,0,7428.0,11070.5,0,18584.0,20440.0,0,10084.400000000001,17352.25,0,0,0.0,0.0,0.0,0.0,0.0
213,d. Commerce,2420.0,2481.29,2541.0,0,3652.0,3980.05,0,5023.0,5391.0,0,5091.51,4362.8,0,0,0.0,0.0,0.0,0.0,0.0
214,dd. Youth Affairs and Sports,506.99,669.0,1560.0,0,3073.0,3565.0,0,1152.0,1219.0,0,1518.6299999999999,1592.0,0,0,0.0,0.0,0.0,0.0,0.0
215,e. Electronics and Information Technology,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
216,gg. Grants from Central Pool of Resources for North Eastern Region and Sikkim,0.0,0.0,0.0,0,0.0,0.0,0,879.0,948.0,0,970.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
217,hh. North Eastern Region,461.5,600.0,600.0,0,624.0,0.0,0,821.0,832.0,0,828.0,1600.0,0,0,0.0,0.0,0.0,0.0,0.0
218,i. Food Processing Industries,186.55,173.7,258.3,0,350.5,409.72,0,670.54,719.11,0,498.51,636.02,0,0,0.0,0.0,0.0,0.0,0.0
219,j. Health and Family Welfare,0.0,0.0,15291.0,0,21113.33,23530.0,0,30702.0,33278.0,0,29358.0,36881.67,0,0,0.0,0.0,0.0,0.0,0.0
220,k. AIDS Control,0.0,0.0,0.0,0,0.0,0.0,0,1700.0,1785.0,0,1357.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
221,l. Home Affairs,17015.82,18018.41,20995.73,0,37299.78,35144.97,0,52222.1,56906.84,0,66641.1,75219.48,0,0,0.0,0.0,0.0,0.0,0.0
222,m. Housing and Urban Poverty Alleviation,0.0,0.0,509.75,0,857.97,1007.03,0,1163.0,1468.02,0,5169.47,5383.92,0,0,0.0,0.0,0.0,0.0,0.0
223,m. School Education and Literacy,0.0,0.0,23142.22,0,29099.21,33214.0,0,48781.0,52701.0,0,41934.5,43273.78,0,0,0.0,0.0,0.0,0.0,0.0
224,n. Higher Education,0.0,0.0,9209.5,0,15429.0,16690.0,0,25275.0,26750.0,0,26760.26,28765.0,0,0,0.0,0.0,0.0,0.0,0.0
225,o. Labour and Employment,1192.09,1481.36,1633.48,0,2442.97,2848.33,0,4333.68,5081.2,0,5357.37,6242.6,0,0,0.0,0.0,0.0,0.0,0.0
226,p. Law and Justice,495.0,872.95,817.0,0,1678.0,687.19,0,1535.62,1815.47,0,3460.65,5025.0,0,0,3055.11,2200.0,2645.82,3393.48,3975.43
227,r. Minority Affairs,0.0,2.0,512.83,0,1756.5,2615.37,0,3154.7,3530.98,0,3726.11,3815.75,0,0,0.0,0.0,0.0,0.0,0.0
228,s. Panchayati Raj,50.44,3825.73,4770.5,0,4780.71,120.71,0,5350.74,7000.7,0,94.75,768.33,0,0,0.0,0.0,0.0,0.0,0.0
229,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,0,21553.55,22184.9,0,30705.21,31209.23,0,45709.65,57816.0,0,0,0.0,0.0,0.0,0.0,0.0
230,u. Land Resources,1399.44,1421.7,3007.56,0,2405.64,2665.8,0,3208.2,5772.85,0,1632.5,1708.36,0,0,0.0,0.0,0.0,0.0,0.0
231,u. Rural Development,18353.87,24047.56,27522.86,0,62706.95,66137.86,0,73221.82,74477.65,0,71593.08,85969.45,0,0,0.0,0.0,0.0,0.0,0.0
232,w. Empowerment of Persons with Disabilities,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.01,0,0,0.0,0.0,0.0,0.0,0.0
233,w. Social Justice and Empowerment,1599.7,1817.6,4118.3,0,2585.0,4574.0,0,6008.3,6725.32,0,6514.82,6551.450000000001,0,0,0.0,0.0,0.0,0.0,0.0
234,x. Disability Affairs,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,636.94,0.0,0,0,0.0,0.0,0.0,0.0,0.0
235,z. Textiles,2008.25,3045.75,6273.36,0,5398.0,5608.08,0,7836.41,5431.59,0,4274.8,4594.82,0,0,0.0,0.0,0.0,0.0,0.0
