Fiscal_Year,Ministry,Sector,Budget_Allocation,GDP_Growth_Rate,Inflation_CPI,Fiscal_Deficit_GDP,Current_Account_GDP,Exchange_Rate_USD,Crude_Oil_Price,Economic_Crisis,Election_Year,High_Inflation,Budget_MA_3,Budget_MA_5,Budget_YoY_Growth
16-17,Coal,Energy & Natural Resources,361.0,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,488.23333333333335,486.3540000000001,-40.42904290429043
17-18,Coal,Energy & Natural Resources,745.1,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,570.6999999999999,541.63,106.39889196675902
18-19,Coal,Energy & Natural Resources,770.91,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,625.67,596.142,3.4639645685142773
19-20,Coal,Energy & Natural Resources,822.05,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,779.3533333333334,661.0120000000001,6.633718592312987
20-21,Coal,Energy & Natural Resources,882.61,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,825.19,716.3340000000001,7.366948482452407
21-22,Coal,Energy & Natural Resources,534.88,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,746.5133333333333,751.11,-39.39792207203635
22-23,Coal,Energy & Natural Resources,393.24,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,603.5766666666667,680.7379999999999,-26.48070595273706
23-24,Coal,Energy & Natural Resources,192.32,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,373.48,565.02,-51.09347980876818
05-06,Commerce,Economic Services,2420.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,2420.0,2420.0,
06-07,Commerce,Economic Services,2481.29,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,2450.645,2450.645,2.5326446280991677
07-08,Commerce,Economic Services,2541.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,2480.7633333333333,2480.7633333333333,2.406409569216006
09-10,Commerce,Economic Services,3652.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,2891.4300000000003,2773.5725,43.72294372294372
10-11,Commerce,Economic Services,3980.05,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,3391.0166666666664,3014.868,8.982749178532323
11-12,Commerce,Economic Services,6511.58,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,4714.543333333334,3833.1839999999997,63.60548234318664
12-13,Commerce,Economic Services,5023.0,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,5171.543333333334,4341.526,-22.860503902278705
13-14,Commerce,Economic Services,5391.0,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,5641.860000000001,4911.526,7.326299024487359
15-16,Commerce,Economic Services,5091.51,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,5168.503333333333,5199.428,-5.555370061213127
16-17,Commerce,Economic Services,4362.8,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,4948.4366666666665,5275.978,-14.312257071085
17-18,Commerce,Economic Services,4465.83,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,4640.046666666667,4866.8279999999995,2.361556798386344
18-19,Commerce,Economic Services,5251.7,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,4693.443333333334,4912.567999999999,17.597400707147372
19-20,Commerce,Economic Services,6219.32,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,5312.283333333333,5078.231999999999,18.424890987680186
20-21,Commerce,Economic Services,6219.32,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,5896.78,5303.794,0.0
21-22,Commerce,Economic Services,4986.01,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,5808.216666666666,5428.436,-19.8303029913238
22-23,Commerce,Economic Services,6073.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,5759.443333333333,5749.87,21.800798634579554
23-24,Commerce,Economic Services,5254.58,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,5437.863333333334,5750.446000000001,-13.476370821669692
05-06,Company Affairs,Economic Services,116.27,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,116.27,116.27,
06-07,Company Affairs,Economic Services,145.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,130.635,130.635,24.70972735873398
07-08,Company Affairs,Economic Services,201.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,154.09,154.09,38.62068965517243
09-10,Company Affairs,Economic Services,229.62,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,191.87333333333333,172.9725,14.23880597014926
10-11,Company Affairs,Economic Services,249.01,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,226.54333333333332,188.18,8.444386377493252
11-12,Company Affairs,Economic Services,238.94,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,239.18999999999997,212.714,-4.044014296614595
12-13,Company Affairs,Economic Services,245.5,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,244.48333333333335,232.814,2.7454591110739113
13-14,Company Affairs,Economic Services,255.28,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,246.57333333333335,243.67,3.9837067209775867
15-16,Company Affairs,Economic Services,271.88,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,257.55333333333334,252.122,6.502663741773729
16-17,Company Affairs,Economic Services,344.43,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,290.53000000000003,271.206,26.684566720612036
17-18,Company Affairs,Economic Services,448.04,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,354.78333333333336,313.026,30.0815840664286
18-19,Company Affairs,Economic Services,564.15,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,452.20666666666665,376.756,25.915096866351206
19-20,Company Affairs,Economic Services,553.63,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,521.9399999999999,436.42600000000004,-1.8647522821944484
20-21,Company Affairs,Economic Services,727.62,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,615.1333333333333,527.574,31.427126420172314
21-22,Company Affairs,Economic Services,712.13,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,664.4599999999999,601.114,-2.1288584700805413
22-23,Company Affairs,Economic Services,733.02,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,724.2566666666667,658.11,2.9334531616418413
23-24,Company Affairs,Economic Services,756.19,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,733.7800000000001,696.518,3.1608960192082147
05-06,Consumer Affairs,Economic Services,133.34,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,133.34,133.34,
06-07,Consumer Affairs,Economic Services,198.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,165.67000000000002,165.67000000000002,48.49257537123144
07-08,Consumer Affairs,Economic Services,249.64,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,193.66,193.66,26.080808080808083
09-10,Consumer Affairs,Economic Services,467.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,304.88,261.995,87.06937990706618
10-11,Consumer Affairs,Economic Services,475.2,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,397.28,304.636,1.7558886509635885
11-12,Consumer Affairs,Economic Services,580.56,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,507.5866666666666,394.08000000000004,22.171717171717155
12-13,Consumer Affairs,Economic Services,602.29,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,552.6833333333333,474.938,3.742937853107353
13-14,Consumer Affairs,Economic Services,556.9,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,579.9166666666666,536.3900000000001,-7.536236696607945
15-16,Consumer Affairs,Economic Services,261.77,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,473.65333333333325,495.34399999999994,-52.99515173280661
16-17,Consumer Affairs,Economic Services,1241.61,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,686.7599999999999,648.626,374.3133284944799
17-18,Consumer Affairs,Economic Services,3727.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,1743.4599999999998,1277.914,200.17477307689214
18-19,Consumer Affairs,Economic Services,1785.17,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,2251.26,1514.49,-52.10169036758787
19-20,Consumer Affairs,Economic Services,2272.32,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,2594.83,1857.574,27.288717601124834
20-21,Consumer Affairs,Economic Services,2300.0,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,2119.1633333333334,2265.2200000000003,1.2181382903816207
21-22,Consumer Affairs,Economic Services,2974.1,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,2515.4733333333334,2611.718,29.30869565217391
22-23,Consumer Affairs,Economic Services,1724.88,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,2332.9933333333333,2211.2940000000003,-42.00329511448842
23-24,Consumer Affairs,Economic Services,250.66,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,1649.8799999999999,1904.3919999999998,-85.46797458373916
05-06,Culture,Culture & Tourism,865.27,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,865.27,865.27,
06-07,Culture,Culture & Tourism,40.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,452.635,452.635,-95.37716550903185
07-08,Culture,Culture & Tourism,40.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,315.09,315.09,0.0
09-10,Culture,Culture & Tourism,7715.6,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,2598.5333333333333,2165.2175,19189.0
10-11,Culture,Culture & Tourism,8885.97,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,5547.19,3509.368,15.168878635491723
11-12,Culture,Culture & Tourism,1338.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,5979.856666666667,3603.9139999999998,-84.94255551166614
12-13,Culture,Culture & Tourism,11313.22,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,7179.063333333333,5858.558,745.5321375186845
13-14,Culture,Culture & Tourism,11979.5,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,8210.24,8246.458,5.889393117078967
15-16,Culture,Culture & Tourism,6203.85,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,9832.19,7944.108,-48.212780166117106
16-17,Culture,Culture & Tourism,23228.83,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,13804.06,10812.68,274.4260418933404
17-18,Culture,Culture & Tourism,2738.47,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,10723.716666666667,11092.774000000001,-88.21089998936667
18-19,Culture,Culture & Tourism,46700.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,24222.433333333334,18170.129999999997,1605.3318093680048
19-20,Culture,Culture & Tourism,129585.21,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,59674.56,41691.272000000004,177.48438972162742
20-21,Culture,Culture & Tourism,134399.77,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,103561.65999999999,67330.456,3.715362270123257
21-22,Culture,Culture & Tourism,123017.57,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,129000.85000000002,87288.204,-8.468913302455782
22-23,Culture,Culture & Tourism,124000.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,127139.11333333333,111540.51000000001,0.7986094994397952
23-24,Culture,Culture & Tourism,115531.79,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,120849.78666666668,125306.86799999999,-6.829201612903235
05-06,Defence (Civil estimates),Defense & Security,13952.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,13952.0,13952.0,
06-07,Defence (Civil estimates),Defense & Security,15123.84,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,14537.92,14537.92,8.399082568807348
07-08,Defence (Civil estimates),Defense & Security,16695.83,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,15257.223333333333,15257.223333333333,10.394119482882669
09-10,Defence (Civil estimates),Defense & Security,24960.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,18926.556666666667,17682.9175,49.498407686230614
10-11,Defence (Civil estimates),Defense & Security,147344.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,62999.943333333336,43615.134,490.3205128205128
11-12,Defence (Civil estimates),Defense & Security,38156.81,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,70153.60333333333,48456.096,-74.10358752307525
12-13,Defence (Civil estimates),Defense & Security,44798.24,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,76766.34999999999,54390.976,17.405621696362992
13-14,Defence (Civil estimates),Defense & Security,49673.79,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,44209.613333333335,60986.56799999999,10.883351667386943
15-16,Defence (Civil estimates),Defense & Security,63352.6,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,52608.21,68665.08799999999,27.537278713784463
16-17,Defence (Civil estimates),Defense & Security,118465.84,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,77164.07666666668,62889.45599999999,86.99444063858468
17-18,Defence (Civil estimates),Defense & Security,14852.22,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,65556.88666666667,58228.537999999986,-87.46286693277995
18-19,Defence (Civil estimates),Defense & Security,16206.09,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,49841.38333333333,52510.10799999999,9.11560695976763
19-20,Defence (Civil estimates),Defense & Security,17065.12,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,16041.143333333333,45988.373999999996,5.300661664843265
20-21,Defence (Civil estimates),Defense & Security,14500.0,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,15923.736666666666,36217.85399999999,-15.031362217200927
21-22,Defence (Civil estimates),Defense & Security,15257.34,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,15607.48666666667,15576.153999999995,5.223034482758626
22-23,Defence (Civil estimates),Defense & Security,20100.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,16619.11333333333,16625.709999999995,31.73987077695064
23-24,Defence (Civil estimates),Defense & Security,22612.5,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,19323.28,17906.991999999995,12.5
05-06,Defence Services,Defense & Security,83000.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,83000.0,83000.0,
06-07,Defence Services,Defense & Security,15123.84,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,49061.92,49061.92,-81.77850602409639
07-08,Defence Services,Defense & Security,16695.83,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,38273.223333333335,38273.223333333335,10.394119482882669
09-10,Defence Services,Defense & Security,24960.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,18926.556666666667,34944.9175,49.498407686230614
10-11,Defence Services,Defense & Security,147344.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,62999.943333333336,57424.73400000001,490.3205128205128
11-12,Defence Services,Defense & Security,164415.49,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,112239.83,73707.83200000001,11.5861453469432
12-13,Defence Services,Defense & Security,44798.24,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,118852.57666666666,79642.712,-72.75302953511253
13-14,Defence Services,Defense & Security,49673.79,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,86295.84,86238.304,10.883351667386943
15-16,Defence Services,Defense & Security,63352.6,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,52608.21,93916.824,27.537278713784463
16-17,Defence Services,Defense & Security,118465.84,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,77164.07666666668,88141.19200000001,86.99444063858468
17-18,Defence Services,Defense & Security,172773.89,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,118197.44333333334,89812.872,45.842793162991136
18-19,Defence Services,Defense & Security,16206.09,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,102481.94000000002,84094.44200000001,-90.62005838960968
19-20,Defence Services,Defense & Security,17065.12,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,68681.7,77572.70800000001,5.300661664843265
20-21,Defence Services,Defense & Security,14500.0,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,15923.736666666666,67802.18800000001,-15.031362217200927
21-22,Defence Services,Defense & Security,15257.34,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,15607.486666666666,47160.488,5.223034482758626
22-23,Defence Services,Defense & Security,20100.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,16619.11333333333,16625.71,31.73987077695064
23-24,Defence Services,Defense & Security,22612.5,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,19323.28,17906.992000000002,12.5
05-06,Development of North Eastern Region,Regional Development,52.23,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,52.23,52.23,
06-07,Development of North Eastern Region,Regional Development,62.79,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,57.51,57.51,20.218265364732922
07-08,Development of North Eastern Region,Regional Development,93.07,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,69.36333333333333,69.36333333333333,48.22423952858734
09-10,Development of North Eastern Region,Regional Development,101.47,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,85.77666666666666,77.39,9.025464703986263
10-11,Development of North Eastern Region,Regional Development,209.33,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,134.62333333333333,103.77799999999999,106.29742781117572
11-12,Development of North Eastern Region,Regional Development,212.58,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,174.46,135.848,1.552572493192561
12-13,Development of North Eastern Region,Regional Development,229.33,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,217.08,169.156,7.879386583874304
13-14,Development of North Eastern Region,Regional Development,250.97,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,230.96,200.736,9.436183665460241
15-16,Development of North Eastern Region,Regional Development,564.74,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,348.34666666666664,293.39,125.02291110491295
16-17,Development of North Eastern Region,Regional Development,830.01,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,548.5733333333334,417.526,46.97205793816623
17-18,Development of North Eastern Region,Regional Development,2682.45,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,1359.0666666666666,911.5,223.1828532186359
18-19,Development of North Eastern Region,Regional Development,3000.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,2170.82,1465.634,11.838058491304594
19-20,Development of North Eastern Region,Regional Development,3000.0,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,2894.15,2015.44,0.0
20-21,Development of North Eastern Region,Regional Development,3048.73,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,3016.2433333333333,2512.2380000000003,1.6243333333333387
21-22,Development of North Eastern Region,Regional Development,2658.0,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,2902.2433333333333,2877.8360000000002,-12.816156235547261
22-23,Development of North Eastern Region,Regional Development,2800.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,2835.5766666666664,2901.346,5.342362678705803
23-24,Development of North Eastern Region,Regional Development,5892.0,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,3783.3333333333335,3479.746,110.42857142857142
05-06,Drinking Water Supply,Agriculture & Rural,4751.42,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,4751.42,4751.42,
06-07,Drinking Water Supply,Agriculture & Rural,6001.7,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,5376.5599999999995,5376.5599999999995,26.313817763952674
07-08,Drinking Water Supply,Agriculture & Rural,7561.74,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,6104.953333333334,6104.953333333334,25.99330189779563
09-10,Drinking Water Supply,Agriculture & Rural,9202.84,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,7588.759999999999,6879.425,21.70267689711627
10-11,Drinking Water Supply,Agriculture & Rural,10583.78,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,9116.12,7620.296,15.0055852323848
11-12,Drinking Water Supply,Agriculture & Rural,11005.24,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,10263.953333333333,8871.060000000001,3.9821311478507537
12-13,Drinking Water Supply,Agriculture & Rural,14005.24,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,11864.753333333334,10471.768,27.25974172303376
13-14,Drinking Water Supply,Agriculture & Rural,15265.7,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,13425.393333333335,12012.560000000001,8.999917173857796
15-16,Drinking Water Supply,Agriculture & Rural,238.87,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,9836.603333333334,10219.766,-98.4352502669383
16-17,Drinking Water Supply,Agriculture & Rural,1471.2,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,5658.590000000001,8397.25,515.8998618495416
17-18,Drinking Water Supply,Agriculture & Rural,20010.79,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,7240.286666666668,10198.36,1260.1678901576945
18-19,Drinking Water Supply,Agriculture & Rural,22356.6,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,14612.863333333335,11868.632000000001,11.722725589544435
19-20,Drinking Water Supply,Agriculture & Rural,18216.34,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,20194.576666666664,12458.76,-18.519184491380614
20-21,Drinking Water Supply,Agriculture & Rural,21518.1,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,20697.013333333336,16714.606,18.125265558284486
21-22,Drinking Water Supply,Agriculture & Rural,60030.45,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,33254.96333333333,28426.456,178.9765360324564
22-23,Drinking Water Supply,Agriculture & Rural,67221.12,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,49589.88999999999,37868.522,11.978370976729313
23-24,Drinking Water Supply,Agriculture & Rural,77223.0,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,68158.19,48841.801999999996,14.879073719688108
05-06,Economic Affairs (centralised provisions),Governance & Administration,160114.27,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,160114.27,160114.27,
06-07,Economic Affairs (centralised provisions),Governance & Administration,169511.6,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,164812.935,164812.935,5.869139583873451
07-08,Economic Affairs (centralised provisions),Governance & Administration,189264.93,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,172963.6,172963.6,11.653084508670775
09-10,Economic Affairs (centralised provisions),Governance & Administration,260122.44,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,206299.65666666665,194753.31,37.438267089418
10-11,Economic Affairs (centralised provisions),Governance & Administration,281433.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,243606.79,212089.248,8.192511188192753
11-12,Economic Affairs (centralised provisions),Governance & Administration,317419.79,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,286325.07666666666,243550.352,12.786983047474877
12-13,Economic Affairs (centralised provisions),Governance & Administration,378246.89,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,325699.8933333333,285297.41000000003,19.162982875138333
13-14,Economic Affairs (centralised provisions),Governance & Administration,432968.89,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,376211.8566666667,334038.202,14.467270305910507
15-16,Economic Affairs (centralised provisions),Governance & Administration,565159.57,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,458791.78333333327,395045.62799999997,30.53121899820561
16-17,Economic Affairs (centralised provisions),Governance & Administration,603316.31,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,533814.9233333333,459422.29000000004,6.751498519258936
17-18,Economic Affairs (centralised provisions),Governance & Administration,11110.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,393195.2933333333,398160.33200000005,-98.15851157745097
18-19,Economic Affairs (centralised provisions),Governance & Administration,12742.84,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,209056.38333333333,325059.522,14.697029702970287
19-20,Economic Affairs (centralised provisions),Governance & Administration,14120.62,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,12657.82,241289.86800000002,10.812189433438713
20-21,Economic Affairs (centralised provisions),Governance & Administration,29308.27,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,18723.91,134119.608,107.55653788573021
21-22,Economic Affairs (centralised provisions),Governance & Administration,61128.18,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,34852.35666666667,25681.982,108.56973134204102
22-23,Economic Affairs (centralised provisions),Governance & Administration,14540.26,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,34992.23666666667,26368.034000000003,-76.21349106091495
23-24,Economic Affairs (centralised provisions),Governance & Administration,5901.31,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,27189.916666666668,24999.728000000003,-59.41399947456235
05-06,Elementary Education and Literacy,Social Services,12536.53,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,12536.53,12536.53,
06-07,Elementary Education and Literacy,Social Services,17132.71,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,14834.619999999999,14834.619999999999,36.66229810003245
07-08,Elementary Education and Literacy,Social Services,23142.22,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,17603.82,17603.82,35.07623720940822
09-10,Elementary Education and Literacy,Social Services,29099.21,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,23124.713333333333,20477.6675,25.740788913077473
10-11,Elementary Education and Literacy,Social Services,33214.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,28485.14333333333,23024.934,14.140555705807834
11-12,Elementary Education and Literacy,Social Services,41451.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,34588.07,28807.828,24.799783223941716
12-13,Elementary Education and Literacy,Social Services,48781.0,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,41148.666666666664,35137.486,17.68352995102651
13-14,Elementary Education and Literacy,Social Services,52701.0,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,47644.333333333336,41049.242000000006,8.03591562288597
15-16,Elementary Education and Literacy,Social Services,6153.0,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,35878.333333333336,36460.0,-88.32469972106792
16-17,Elementary Education and Literacy,Social Services,8466.5,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,22440.166666666668,31510.5,37.599544937428895
17-18,Elementary Education and Literacy,Social Services,46356.25,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,20325.25,32491.55,447.5255418413749
18-19,Elementary Education and Literacy,Social Services,50000.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,34940.916666666664,32735.35,7.86032088445463
19-20,Elementary Education and Literacy,Social Services,56386.63,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,50914.293333333335,33472.476,12.773259999999986
20-21,Elementary Education and Literacy,Social Services,59845.0,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,55410.543333333335,44210.876000000004,6.133315645925297
21-22,Elementary Education and Literacy,Social Services,54873.66,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,57035.09666666667,53492.308,-8.307026485086466
22-23,Elementary Education and Literacy,Social Services,63449.37,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,59389.34333333333,56910.93200000001,15.628099164517174
23-24,Elementary Education and Literacy,Social Services,68804.85,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,62375.96,60671.902,8.440556620183948
