Sector_12,Base_Ministry,Fiscal_Year,Year_End,Budget_Amount,Sector_Total,Ministry_Share_Sector
economic services,Economic Affairs (centralised provisions),11-12,2012,317419.79,342764.48,0.9260580034430639
economic services,Economic Affairs (centralised provisions),12-13,2013,378246.89,404609.2,0.9348450059959091
economic services,Economic Affairs (centralised provisions),13-14,2014,432968.89,463665.78,0.9337952220670673
economic services,Economic Affairs (centralised provisions),15-16,2016,565159.57,587662.1499999999,0.9617083046781216
economic services,Economic Affairs (centralised provisions),16-17,2017,603316.31,625239.6900000001,0.9649360391692344
economic services,Economic Affairs (centralised provisions),17-18,2018,11110.0,51887.06,0.2141188959251112
economic services,Economic Affairs (centralised provisions),18-19,2019,12742.84,51204.78,0.2488603603022999
economic services,Economic Affairs (centralised provisions),19-20,2020,14120.62,55617.17,0.253889581221051
economic services,Economic Affairs (centralised provisions),20-21,2021,29308.27,71966.5,0.40724878936727504
economic services,Economic Affairs (centralised provisions),21-22,2022,61128.18,96539.95,0.6331905081782205
economic services,Economic Affairs (centralised provisions),22-23,2023,14540.26,76252.66,0.19068528232326584
economic services,Economic Affairs (centralised provisions),23-24,2024,5901.31,61298.689999999995,0.09627138850765002
economic services,Heavy Industry,05-06,2006,861.32,170679.0,0.005046432191423667
economic services,Heavy Industry,06-07,2007,905.84,182168.45,0.004972540524992116
economic services,Heavy Industry,07-08,2008,906.3,202392.49,0.004477932950970661
economic services,Heavy Industry,09-10,2010,812.0,275949.66,0.0029425656839004626
economic services,Heavy Industry,10-11,2011,881.71,300147.1,0.0029375929335982262
economic services,Heavy Industry,11-12,2012,855.65,342764.48,0.0024963205055553014
economic services,Heavy Industry,12-13,2013,1009.67,404609.2,0.0024954202722034
economic services,Heavy Industry,13-14,2014,1028.97,463665.78,0.0022192062567136183
economic services,Heavy Industry,15-16,2016,1624.73,587662.1499999999,0.0027647348055340987
economic services,Heavy Industry,16-17,2017,1300.0,625239.6900000001,0.002079202617479386
economic services,Heavy Industry,17-18,2018,2600.0,51887.06,0.050108832529728996
economic services,Heavy Industry,18-19,2019,1125.73,51204.78,0.021984861569564404
economic services,Heavy Industry,19-20,2020,1162.0,55617.17,0.020892828599513424
economic services,Heavy Industry,20-21,2021,1489.98,71966.5,0.02070379968457546
economic services,Heavy Industry,21-22,2022,995.27,96539.95,0.010309410767252314
economic services,Heavy Industry,22-23,2023,3306.0,76252.66,0.04335586456918355
economic services,Heavy Industry,23-24,2024,6171.63,61298.689999999995,0.10068127067642066
economic services,Industrial Policy and Promotion,05-06,2006,640.27,170679.0,0.003751310940420321
economic services,Industrial Policy and Promotion,06-07,2007,600.32,182168.45,0.003295411472184124
economic services,Industrial Policy and Promotion,07-08,2008,613.44,202392.49,0.0030309425018685233
economic services,Industrial Policy and Promotion,09-10,2010,1186.0,275949.66,0.004297885346189591
economic services,Industrial Policy and Promotion,10-11,2011,1208.87,300147.1,0.004027591804152031
economic services,Industrial Policy and Promotion,11-12,2012,1489.0,342764.48,0.00434409072958785
economic services,Industrial Policy and Promotion,12-13,2013,1567.25,404609.2,0.0038734907659044825
economic services,Industrial Policy and Promotion,13-14,2014,1716.29,463665.78,0.0037015671072383213
economic services,Industrial Policy and Promotion,15-16,2016,2616.19,587662.1499999999,0.004451860648163235
economic services,Industrial Policy and Promotion,16-17,2017,3026.55,625239.6900000001,0.004840623601486335
economic services,Industrial Policy and Promotion,17-18,2018,3608.87,51887.06,0.06955240863521657
economic services,Industrial Policy and Promotion,18-19,2019,6140.23,51204.78,0.11991517198199074
economic services,Industrial Policy and Promotion,19-20,2020,5674.51,55617.17,0.10202802479881663
economic services,Industrial Policy and Promotion,20-21,2021,6605.55,71966.5,0.09178645619837007
economic services,Industrial Policy and Promotion,21-22,2022,7782.24,96539.95,0.08061160172550327
economic services,Industrial Policy and Promotion,22-23,2023,8348.0,76252.66,0.10947814804099948
economic services,Industrial Policy and Promotion,23-24,2024,8200.63,61298.689999999995,0.13378148864192693
economic services,Labour and Employment,05-06,2006,1192.09,170679.0,0.006984397611891327
economic services,Labour and Employment,06-07,2007,1481.36,182168.45,0.00813181426311746
economic services,Labour and Employment,07-08,2008,1633.48,202392.49,0.008070852826604387
economic services,Labour and Employment,09-10,2010,2442.97,275949.66,0.00885295528177132
economic services,Labour and Employment,10-11,2011,2848.33,300147.1,0.009489780177786159
economic services,Labour and Employment,11-12,2012,3109.25,342764.48,0.009071097448603776
economic services,Labour and Employment,12-13,2013,4333.68,404609.2,0.010710779685681888
economic services,Labour and Employment,13-14,2014,5081.2,463665.78,0.01095875567957592
economic services,Labour and Employment,15-16,2016,3966.85,587662.1499999999,0.006750222045098533
economic services,Labour and Employment,16-17,2017,6131.35,625239.6900000001,0.009806399206678642
economic services,Labour and Employment,17-18,2018,7188.38,51887.06,0.13853897291540512
economic services,Labour and Employment,18-19,2019,7700.0,51204.78,0.1503765859359224
economic services,Labour and Employment,19-20,2020,10434.09,55617.17,0.18760555418407662
economic services,Labour and Employment,20-21,2021,12065.49,71966.5,0.1676542557995734
economic services,Labour and Employment,21-22,2022,13306.5,96539.95,0.13783412980843682
economic services,Labour and Employment,22-23,2023,16893.68,76252.66,0.22154873023446
economic services,Labour and Employment,23-24,2024,13221.73,61298.689999999995,0.21569351645198293
economic services,Planning,05-06,2006,106.8,170679.0,0.0006257360307946496
economic services,Planning,06-07,2007,123.83,182168.45,0.0006797554680846216
economic services,Planning,07-08,2008,129.32,202392.49,0.0006389565146414277
economic services,Planning,09-10,2010,519.0,275949.66,0.0018807778201284976
economic services,Planning,10-11,2011,2059.32,300147.1,0.006861035805443398
economic services,Planning,11-12,2012,1676.0,342764.48,0.004889654844049185
economic services,Planning,12-13,2013,2177.03,404609.2,0.005380574638441242
economic services,Planning,13-14,2014,8081.51,463665.78,0.01742960198615477
economic services,Planning,15-16,2016,2211.63,587662.1499999999,0.0037634378868879005
economic services,Planning,16-17,2017,293.14,625239.6900000001,0.0004688441963753132
economic services,Planning,17-18,2018,252.52,51887.06,0.004866723996310449
economic services,Planning,18-19,2019,339.65,51204.78,0.006633169793913771
economic services,Planning,19-20,2020,363.4,55617.17,0.006533953453582769
economic services,Planning,20-21,2021,650.0,71966.5,0.009031980157434363
economic services,Planning,21-22,2022,1062.77,96539.95,0.01100860317412636
economic services,Planning,22-23,2023,321.42,76252.66,0.004215197214103744
economic services,Planning,23-24,2024,824.39,61298.689999999995,0.013448737648390203
economic services,Public Enterprises,05-06,2006,32.93,170679.0,0.00019293527616168362
economic services,Public Enterprises,06-07,2007,35.32,182168.45,0.00019388648253855154
economic services,Public Enterprises,07-08,2008,14.43,202392.49,7.129711186418033e-05
economic services,Public Enterprises,09-10,2010,17.2,275949.66,6.233020906784231e-05
economic services,Public Enterprises,10-11,2011,15.72,300147.1,5.237431912552213e-05
economic services,Public Enterprises,11-12,2012,18.69,342764.48,5.452723689455804e-05
economic services,Public Enterprises,12-13,2013,21.93,404609.2,5.4200448234988225e-05
economic services,Public Enterprises,13-14,2014,19.39,463665.78,4.181891534026945e-05
economic services,Public Enterprises,15-16,2016,19.0,587662.1499999999,3.233150203735259e-05
economic services,Public Enterprises,16-17,2017,20.42,625239.6900000001,3.2659474960714666e-05
economic services,Public Enterprises,17-18,2018,19.38,51887.06,0.0003735035286254415
economic services,Public Enterprises,18-19,2019,20.44,51204.78,0.00039918148266626674
economic services,Public Enterprises,19-20,2020,22.64,55617.17,0.000407068536568833
economic services,Public Enterprises,20-21,2021,24.15,71966.5,0.0003355728012339074
economic services,Public Enterprises,21-22,2022,21.81,96539.95,0.00022591683546552488
economic services,Public Enterprises,22-23,2023,30.0,76252.66,0.00039342889808696507
economic services,Public Enterprises,23-24,2024,33.05,61298.689999999995,0.0005391632349728844
economic services,Small Scale Industries,05-06,2006,460.3,170679.0,0.002696875421112146
economic services,Small Scale Industries,06-07,2007,524.24,182168.45,0.0028777760364102566
economic services,Small Scale Industries,07-08,2008,585.41,202392.49,0.0028924492208184205
economic services,Small Scale Industries,09-10,2010,349.0,275949.66,0.0012647234281788933
economic services,Small Scale Industries,10-11,2011,447.7,300147.1,0.0014916019511766064
economic services,Small Scale Industries,11-12,2012,3001.29,342764.48,0.008756128989794975
economic services,Small Scale Industries,12-13,2013,498.35,404609.2,0.0012316823245739346
economic services,Small Scale Industries,13-14,2014,497.7,463665.78,0.0010734024840047501
economic services,Small Scale Industries,15-16,2016,606.0,587662.1499999999,0.001031204749191351
economic services,Small Scale Industries,16-17,2017,361.0,625239.6900000001,0.0005773785730077372
economic services,Small Scale Industries,17-18,2018,6481.96,51887.06,0.12492440311707775
economic services,Small Scale Industries,18-19,2019,770.91,51204.78,0.01505543037193012
economic services,Small Scale Industries,19-20,2020,822.05,55617.17,0.014780507530318425
economic services,Small Scale Industries,20-21,2021,882.61,71966.5,0.01226417847192791
economic services,Small Scale Industries,21-22,2022,534.88,96539.95,0.0055405042161302135
economic services,Small Scale Industries,22-23,2023,3306.0,76252.66,0.04335586456918355
economic services,Small Scale Industries,23-24,2024,6171.63,61298.689999999995,0.10068127067642066
economic services,Statistics and Programme Implementation,05-06,2006,1839.99,170679.0,0.010780412353013552
economic services,Statistics and Programme Implementation,06-07,2007,3160.0,182168.45,0.017346582242973467
economic services,Statistics and Programme Implementation,07-08,2008,3160.0,202392.49,0.01561322754614067
economic services,Statistics and Programme Implementation,09-10,2010,1070.54,275949.66,0.003879475698574878
economic services,Statistics and Programme Implementation,10-11,2011,1136.7,300147.1,0.0037871430375305977
economic services,Statistics and Programme Implementation,11-12,2012,1894.72,342764.48,0.005527760636107919
economic services,Statistics and Programme Implementation,12-13,2013,1977.08,404609.2,0.004886394081004584
economic services,Statistics and Programme Implementation,13-14,2014,1993.36,463665.78,0.004299131154341387
economic services,Statistics and Programme Implementation,15-16,2016,1753.74,587662.1499999999,0.002984265704367723
economic services,Statistics and Programme Implementation,16-17,2017,1545.64,625239.6900000001,0.0024720759489852604
economic services,Statistics and Programme Implementation,17-18,2018,9591.48,51887.06,0.18485302501240194
economic services,Statistics and Programme Implementation,18-19,2019,9718.0,51204.78,0.189786969107181
economic services,Statistics and Programme Implementation,19-20,2020,10462.12,55617.17,0.18810953523884802
economic services,Statistics and Programme Implementation,20-21,2021,10888.0,71966.5,0.15129261531406973
economic services,Statistics and Programme Implementation,21-22,2022,2818.26,96539.95,0.029192681371805147
economic services,Statistics and Programme Implementation,22-23,2023,10796.16,76252.66,0.14158404441235228
economic services,Statistics and Programme Implementation,23-24,2024,10886.8,61298.689999999995,0.17760249036317088
economic services,Steel,05-06,2006,89.53,170679.0,0.0005245519366764511
economic services,Steel,06-07,2007,129.5,182168.45,0.000710880506476286
economic services,Steel,07-08,2008,150.5,202392.49,0.0007436046663589148
economic services,Steel,09-10,2010,115.36,275949.66,0.0004180472626782726
economic services,Steel,10-11,2011,107.62,300147.1,0.0003585575206290516
economic services,Steel,11-12,2012,110.76,342764.48,0.00032313733324993305
economic services,Steel,12-13,2013,115.29,404609.2,0.00028494161773879586
economic services,Steel,13-14,2014,112.87,463665.78,0.0002434296531436933
economic services,Steel,15-16,2016,82.95,587662.1499999999,0.00014115253126307354
economic services,Steel,16-17,2017,85.62,625239.6900000001,0.00013693948316045003
economic services,Steel,17-18,2018,44.14,51887.06,0.0008506937953316299
economic services,Steel,18-19,2019,47.9,51204.78,0.0009354595410819068
economic services,Steel,19-20,2020,241.29,55617.17,0.0043384084447302875
economic services,Steel,20-21,2021,100.0,71966.5,0.0013895354088360556
economic services,Steel,21-22,2022,39.25,96539.95,0.0004065674365897227
economic services,Steel,22-23,2023,47.0,76252.66,0.0006163719403362453
economic services,Steel,23-24,2024,70.15,61298.689999999995,0.0011443963973781497
economic services,Textiles,05-06,2006,2008.25,170679.0,0.011766239549095085
economic services,Textiles,06-07,2007,3045.75,182168.45,0.01671941546409381
economic services,Textiles,07-08,2008,3136.68,202392.49,0.015498005879565986
economic services,Textiles,09-10,2010,5398.0,275949.66,0.01956153886908214
economic services,Textiles,10-11,2011,5608.08,300147.1,0.01868443839703932
economic services,Textiles,11-12,2012,5855.75,342764.48,0.01708388803880729
economic services,Textiles,12-13,2013,7836.41,404609.2,0.01936784927282919
economic services,Textiles,13-14,2014,5431.59,463665.78,0.011714450870193611
economic services,Textiles,15-16,2016,4274.8,587662.1499999999,0.00727424762680394
economic services,Textiles,16-17,2017,4594.82,625239.6900000001,0.007348893669882024
economic services,Textiles,17-18,2018,6226.5,51887.06,0.12000101759475292
economic services,Textiles,18-19,2019,7147.73,51204.78,0.13959106942750266
economic services,Textiles,19-20,2020,5831.48,55617.17,0.10485035466565451
economic services,Textiles,20-21,2021,3514.79,71966.5,0.0488392515962288
economic services,Textiles,21-22,2022,3631.64,96539.95,0.03761800166666753
economic services,Textiles,22-23,2023,12382.14,76252.66,0.1623830565386178
economic services,Textiles,23-24,2024,4389.34,61298.689999999995,0.07160577167309776
energy and natural resources,Atomic Energy,05-06,2006,4995.86,27353.059999999998,0.18264355066672613
energy and natural resources,Atomic Energy,06-07,2007,5505.08,31640.27,0.17398966570133567
energy and natural resources,Atomic Energy,07-08,2008,6130.0,37302.65,0.16433148851355064
energy and natural resources,Atomic Energy,09-10,2010,7773.0,71246.0,0.10910086180276787
energy and natural resources,Atomic Energy,10-11,2011,8521.0,73680.87,0.11564738581398401
energy and natural resources,Atomic Energy,11-12,2012,9352.46,73942.15,0.12648347390493783
energy and natural resources,Atomic Energy,12-13,2013,9232.0,85874.31,0.10750595841759893
energy and natural resources,Atomic Energy,13-14,2014,9833.32,92370.92,0.10645471540177363
energy and natural resources,Atomic Energy,15-16,2016,10912.0,95909.92000000001,0.11377342406291235
energy and natural resources,Atomic Energy,16-17,2017,11682.48,101509.17,0.11508792752418329
energy and natural resources,Atomic Energy,17-18,2018,12461.2,107896.06000000001,0.11549263244644892
energy and natural resources,Atomic Energy,18-19,2019,13971.41,110532.90000000001,0.12640046538180033
energy and natural resources,Atomic Energy,19-20,2020,16725.51,121172.29,0.13803081546119167
energy and natural resources,Atomic Energy,20-21,2021,18228.94,120093.16,0.15178999370155635
energy and natural resources,Atomic Energy,21-22,2022,18264.89,127492.48,0.14326248889346258
energy and natural resources,Atomic Energy,22-23,2023,22723.58,167959.67,0.13529188286688107
energy and natural resources,Atomic Energy,23-24,2024,25078.49,246136.28,0.10188863665283314
energy and natural resources,Coal,05-06,2006,192.07,27353.059999999998,0.007021883474828777
energy and natural resources,Coal,06-07,2007,205.71,31640.27,0.006501524797354764
energy and natural resources,Coal,07-08,2008,288.0,37302.65,0.007720631107977583
energy and natural resources,Coal,09-10,2010,349.0,71246.0,0.004898520618701401
energy and natural resources,Coal,10-11,2011,447.7,73680.87,0.006076204040478893
energy and natural resources,Coal,11-12,2012,468.72,73942.15,0.006339009617653802
energy and natural resources,Coal,12-13,2013,498.35,85874.31,0.005803248957691771
energy and natural resources,Coal,13-14,2014,497.7,92370.92,0.005388059358941104
energy and natural resources,Coal,15-16,2016,606.0,95909.92000000001,0.006318428792350154
energy and natural resources,Coal,16-17,2017,361.0,101509.17,0.003556328950379557
energy and natural resources,Coal,17-18,2018,745.1,107896.06000000001,0.0069057201903387384
energy and natural resources,Coal,18-19,2019,770.91,110532.90000000001,0.006974484519993594
energy and natural resources,Coal,19-20,2020,822.05,121172.29,0.006784141819883077
energy and natural resources,Coal,20-21,2021,882.61,120093.16,0.007349377766394023
energy and natural resources,Coal,21-22,2022,534.88,127492.48,0.004195384700336835
energy and natural resources,Coal,22-23,2023,393.24,167959.67,0.0023412763313955067
energy and natural resources,Coal,23-24,2024,192.32,246136.28,0.0007813557595003873
energy and natural resources,Environment and Forests,05-06,2006,1388.19,27353.059999999998,0.05075081179217244
energy and natural resources,Environment and Forests,06-07,2007,1520.14,31640.27,0.04804446991128711
energy and natural resources,Environment and Forests,07-08,2008,1539.0,37302.65,0.04125712248325521
energy and natural resources,Environment and Forests,09-10,2010,2129.0,71246.0,0.02988237936164837
energy and natural resources,Environment and Forests,10-11,2011,2351.16,73680.87,0.03191004666475844
energy and natural resources,Environment and Forests,11-12,2012,2491.97,73942.15,0.033701616736867945
energy and natural resources,Environment and Forests,12-13,2013,2629.41,85874.31,0.030619285325262
energy and natural resources,Environment and Forests,13-14,2014,2630.2,92370.92,0.028474329366861343
energy and natural resources,Environment and Forests,15-16,2016,1230.05,95909.92000000001,0.012825055009951002
energy and natural resources,Environment and Forests,16-17,2017,1393.32,101509.17,0.01372605056272256
energy and natural resources,Environment and Forests,17-18,2018,2675.42,107896.06000000001,0.02479627152279703
energy and natural resources,Environment and Forests,18-19,2019,88.75,110532.90000000001,0.0008029283588868111
energy and natural resources,Environment and Forests,19-20,2020,3175.72,121172.29,0.02620830224467987
energy and natural resources,Environment and Forests,20-21,2021,3100.0,120093.16,0.025813293613058393
energy and natural resources,Environment and Forests,21-22,2022,2869.93,127492.48,0.022510582584949323
energy and natural resources,Environment and Forests,22-23,2023,3030.0,167959.67,0.01804004497031936
energy and natural resources,Environment and Forests,23-24,2024,3079.4,246136.28,0.012510955313048527
energy and natural resources,Fertilisers,05-06,2006,16398.82,27353.059999999998,0.5995241483036999
energy and natural resources,Fertilisers,06-07,2007,17385.81,31640.27,0.5494836169223588
energy and natural resources,Fertilisers,07-08,2008,22532.0,37302.65,0.6040321532116351
energy and natural resources,Fertilisers,09-10,2010,50200.0,71246.0,0.7046009600538977
energy and natural resources,Fertilisers,10-11,2011,50215.0,73680.87,0.6815201829185785
energy and natural resources,Fertilisers,11-12,2012,50245.0,73942.15,0.679517704042958
energy and natural resources,Fertilisers,12-13,2013,61256.0,85874.31,0.7133215975767374
energy and natural resources,Fertilisers,13-14,2014,66269.0,92370.92,0.7174227559929034
energy and natural resources,Fertilisers,15-16,2016,73047.8,95909.92000000001,0.761629245441973
energy and natural resources,Fertilisers,16-17,2017,70039.37,101509.17,0.6899807179981867
energy and natural resources,Fertilisers,17-18,2018,70032.71,107896.06000000001,0.6490756937741748
energy and natural resources,Fertilisers,18-19,2019,70125.39,110532.90000000001,0.6344300203830714
energy and natural resources,Fertilisers,19-20,2020,75035.0,121172.29,0.6192422376436065
energy and natural resources,Fertilisers,20-21,2021,71345.0,120093.16,0.5940804622011778
energy and natural resources,Fertilisers,21-22,2022,80011.39,127492.48,0.6275773284824329
energy and natural resources,Fertilisers,22-23,2023,105262.23,167959.67,0.6267113408832012
energy and natural resources,Fertilisers,23-24,2024,175148.48,246136.28,0.7115914809470592
energy and natural resources,Mines,05-06,2006,441.86,27353.059999999998,0.016153951331222174
energy and natural resources,Mines,06-07,2007,495.02,31640.27,0.01564525207907518
energy and natural resources,Mines,07-08,2008,389.7,37302.65,0.010446978967982168
energy and natural resources,Mines,09-10,2010,590.0,71246.0,0.008281166661988042
energy and natural resources,Mines,10-11,2011,566.14,73680.87,0.007683676916409918
energy and natural resources,Mines,11-12,2012,654.28,73942.15,0.008848539026793244
energy and natural resources,Mines,12-13,2013,698.44,85874.31,0.008133282235397292
energy and natural resources,Mines,13-14,2014,991.08,92370.92,0.010729350752379645
energy and natural resources,Mines,15-16,2016,1155.71,95909.92000000001,0.012049952705622107
energy and natural resources,Mines,16-17,2017,1213.49,101509.17,0.011954486476443458
energy and natural resources,Mines,17-18,2018,1213.49,107896.06000000001,0.0112468425631112
energy and natural resources,Mines,18-19,2019,1669.52,110532.90000000001,0.015104281168774183
energy and natural resources,Mines,19-20,2020,1497.94,121172.29,0.012362067268019777
energy and natural resources,Mines,20-21,2021,1701.4,120093.16,0.01416733475911534
energy and natural resources,Mines,21-22,2022,1466.82,127492.48,0.011505149166444954
energy and natural resources,Mines,22-23,2023,1508.0,167959.67,0.008978345813611089
energy and natural resources,Mines,23-24,2024,1911.6,246136.28,0.007766429231806054
energy and natural resources,Power,05-06,2006,3061.7,27353.059999999998,0.11193263203458773
energy and natural resources,Power,06-07,2007,5567.0,31640.27,0.17594666543616727
energy and natural resources,Power,07-08,2008,5552.19,37302.65,0.14884170427570156
energy and natural resources,Power,09-10,2010,9202.0,71246.0,0.12915812817561687
energy and natural resources,Power,10-11,2011,10474.87,73680.87,0.14216539516973675
energy and natural resources,Power,11-12,2012,9506.99,73942.15,0.12857335092366126
energy and natural resources,Power,12-13,2013,9519.11,85874.31,0.11084933317077017
energy and natural resources,Power,13-14,2014,10073.07,92370.92,0.10905022922798648
energy and natural resources,Power,15-16,2016,6725.93,95909.92000000001,0.07012757387348462
energy and natural resources,Power,16-17,2017,12252.71,101509.17,0.12070544956677312
energy and natural resources,Power,17-18,2018,13881.14,107896.06000000001,0.12865289056894197
energy and natural resources,Power,18-19,2019,15046.92,110532.90000000001,0.13613069050029447
energy and natural resources,Power,19-20,2020,15874.82,121172.29,0.1310103159724059
energy and natural resources,Power,20-21,2021,15874.82,120093.16,0.13218754506917796
energy and natural resources,Power,21-22,2022,15322.0,127492.48,0.12017963726174281
energy and natural resources,Power,22-23,2023,16074.74,167959.67,0.09570595131557473
energy and natural resources,Power,23-24,2024,20671.32,246136.28,0.08398323075330463
energy and natural resources,Water Resources,05-06,2006,874.56,27353.059999999998,0.031973022396762925
energy and natural resources,Water Resources,06-07,2007,961.51,31640.27,0.030388805152421264
energy and natural resources,Water Resources,07-08,2008,871.76,37302.65,0.0233699214398977
energy and natural resources,Water Resources,09-10,2010,1003.0,71246.0,0.01407798332537967
energy and natural resources,Water Resources,10-11,2011,1105.0,73680.87,0.014997108476053555
energy and natural resources,Water Resources,11-12,2012,1222.73,73942.15,0.016536305747127993
energy and natural resources,Water Resources,12-13,2013,2041.0,85874.31,0.023767294316542398
energy and natural resources,Water Resources,13-14,2014,2076.55,92370.92,0.02248055989915441
energy and natural resources,Water Resources,15-16,2016,2232.43,95909.92000000001,0.02327632011370669
energy and natural resources,Water Resources,16-17,2017,4566.8,101509.17,0.04498903892131125
energy and natural resources,Water Resources,17-18,2018,6887.0,107896.06000000001,0.06382994893418721
energy and natural resources,Water Resources,18-19,2019,8860.0,110532.90000000001,0.0801571296871791
energy and natural resources,Water Resources,19-20,2020,8041.25,121172.29,0.06636211959021325
energy and natural resources,Water Resources,20-21,2021,8960.39,120093.16,0.0746119928895201
energy and natural resources,Water Resources,21-22,2022,9022.57,127492.48,0.07076942891063065
energy and natural resources,Water Resources,22-23,2023,18967.88,167959.67,0.11293115781901691
energy and natural resources,Water Resources,23-24,2024,20054.67,246136.28,0.08147791134244817
food distribution,Consumer Affairs,05-06,2006,133.34,26909.989999999998,0.004955037144198122
food distribution,Consumer Affairs,06-07,2007,198.0,24967.5,0.00793030940222289
food distribution,Consumer Affairs,07-08,2008,249.64,26592.94,0.00938745396334516
food distribution,Consumer Affairs,09-10,2010,467.0,54079.5,0.008635434869035402
food distribution,Consumer Affairs,10-11,2011,475.2,57017.97,0.008334214634438931
food distribution,Consumer Affairs,11-12,2012,580.56,62796.66,0.009245077684067909
food distribution,Consumer Affairs,12-13,2013,602.29,77539.99,0.007767475853427372
food distribution,Consumer Affairs,13-14,2014,556.9,92310.56,0.00603289591136702
food distribution,Consumer Affairs,15-16,2016,261.77,125972.28,0.0020779968418448884
food distribution,Consumer Affairs,16-17,2017,1241.61,142027.63,0.008742031392060826
food distribution,Consumer Affairs,17-18,2018,3727.0,155031.69,0.024040246223207655
food distribution,Consumer Affairs,18-19,2019,1785.17,177344.27000000002,0.010066127312712161
food distribution,Consumer Affairs,19-20,2020,2272.32,195709.31000000003,0.011610689343291843
food distribution,Consumer Affairs,20-21,2021,2300.0,125768.37,0.018287586934616393
food distribution,Consumer Affairs,21-22,2022,2974.1,258257.06,0.011516045292237122
food distribution,Consumer Affairs,22-23,2023,1724.88,220626.44999999998,0.00781810159208019
food distribution,Consumer Affairs,23-24,2024,250.66,209052.25,0.0011990303859441837
food distribution,Food Processing Industries,05-06,2006,186.55,26909.989999999998,0.006932369725889903
food distribution,Food Processing Industries,06-07,2007,173.7,24967.5,0.006957044157404626
food distribution,Food Processing Industries,07-08,2008,258.3,26592.94,0.009713104305127602
food distribution,Food Processing Industries,09-10,2010,350.5,54079.5,0.006481198975582245
food distribution,Food Processing Industries,10-11,2011,409.72,57017.97,0.007185804755939224
food distribution,Food Processing Industries,11-12,2012,610.09,62796.66,0.009715325624006118
food distribution,Food Processing Industries,12-13,2013,670.54,77539.99,0.0086476668361706
food distribution,Food Processing Industries,13-14,2014,719.11,92310.56,0.0077901163203863135
food distribution,Food Processing Industries,15-16,2016,498.51,125972.28,0.003957299177247566
food distribution,Food Processing Industries,16-17,2017,636.02,142027.63,0.004478142738845955
food distribution,Food Processing Industries,17-18,2018,800.0,155031.69,0.005160235304149751
food distribution,Food Processing Industries,18-19,2019,1400.0,177344.27000000002,0.007894249980560408
food distribution,Food Processing Industries,19-20,2020,1196.6,195709.31000000003,0.006114170041271924
food distribution,Food Processing Industries,20-21,2021,1232.94,125768.37,0.009803259754419971
food distribution,Food Processing Industries,21-22,2022,1308.66,258257.06,0.005067276766799716
food distribution,Food Processing Industries,22-23,2023,2941.99,220626.44999999998,0.013334711227960202
food distribution,Food Processing Industries,23-24,2024,3287.65,209052.25,0.015726451162329035
food distribution,Food and Public Distribution,05-06,2006,26590.1,26909.989999999998,0.988112593129912
food distribution,Food and Public Distribution,06-07,2007,24595.8,24967.5,0.9851126464403724
food distribution,Food and Public Distribution,07-08,2008,26085.0,26592.94,0.9808994417315273
food distribution,Food and Public Distribution,09-10,2010,53262.0,54079.5,0.9848833661553823
food distribution,Food and Public Distribution,10-11,2011,56133.05,57017.97,0.9844799806096218
food distribution,Food and Public Distribution,11-12,2012,61606.01,62796.66,0.981039596691926
food distribution,Food and Public Distribution,12-13,2013,76267.16,77539.99,0.983584857310402
food distribution,Food and Public Distribution,13-14,2014,91034.55,92310.56,0.9861769877682467
food distribution,Food and Public Distribution,15-16,2016,125212.0,125972.28,0.9939647039809075
food distribution,Food and Public Distribution,16-17,2017,140150.0,142027.63,0.9867798258690932
food distribution,Food and Public Distribution,17-18,2018,150504.69,155031.69,0.9707995184726426
food distribution,Food and Public Distribution,18-19,2019,174159.1,177344.27000000002,0.9820396227067274
food distribution,Food and Public Distribution,19-20,2020,192240.39,195709.31000000003,0.9822751406154362
food distribution,Food and Public Distribution,20-21,2021,122235.43,125768.37,0.9719091533109636
food distribution,Food and Public Distribution,21-22,2022,253974.3,258257.06,0.9834166779409631
food distribution,Food and Public Distribution,22-23,2023,215959.58,220626.44999999998,0.9788471871799597
food distribution,Food and Public Distribution,23-24,2024,205513.94,209052.25,0.9830745184517268
governance and administration,Company Affairs,05-06,2006,116.27,4849.17,0.023977299207905683
governance and administration,Company Affairs,06-07,2007,145.0,5064.3,0.02863179511482337
governance and administration,Company Affairs,07-08,2008,201.0,5823.700000000001,0.03451414049487439
governance and administration,Company Affairs,09-10,2010,229.62,8884.45,0.02584515642498973
governance and administration,Company Affairs,10-11,2011,249.01,8025.030000000001,0.03102916749220875
governance and administration,Company Affairs,11-12,2012,238.94,9554.5,0.02500811136113873
governance and administration,Company Affairs,12-13,2013,245.5,12349.48,0.019879379536628265
governance and administration,Company Affairs,13-14,2014,255.28,14822.970000000001,0.017221919763718067
governance and administration,Company Affairs,15-16,2016,271.88,19136.36,0.014207508638006391
governance and administration,Company Affairs,16-17,2017,344.43,21067.06,0.016349220062030486
governance and administration,Company Affairs,17-18,2018,448.04,20831.13,0.021508194706672177
governance and administration,Company Affairs,18-19,2019,564.15,66410.34,0.008494912087485172
governance and administration,Company Affairs,19-20,2020,553.63,68254.9,0.0081112125283313
governance and administration,Company Affairs,20-21,2021,727.62,81494.2,0.00892848816234775
governance and administration,Company Affairs,21-22,2022,712.13,77450.87,0.00919460297863665
governance and administration,Company Affairs,22-23,2023,733.02,87283.70999999999,0.008398130647746298
